id,source_type,original_text,category,keywords,importance,action_required,easy_korean,vietnamese,tts_target
12,유치원,개인 칫솔 컵 수건을 이름표를 붙여 보내 주세요,준비물,칫솔|컵|수건,0.95,Y,칫솔 컵 수건에 이름을 붙여 보내 주세요,,Y
13,초등학교,재난대피훈련은 5월 23일 오전 10시에 실시됩니다,건강·안전,재난대피훈련,0.75,N,5월 23일 오전 10시에 대피훈련을 합니다,,N
14,유치원,응급처치 및 귀가 동의서를 반드시 제출해 주세요,제출,응급처치|귀가동의서,1.0,Y,응급처치와 귀가 동의서를 꼭 내 주세요,,Y
15,유치원,약을 보내는 경우 투약 의뢰서를 함께 작성해 주세요,제출,투약의뢰서|약,1.0,Y,약을 보낼 때 투약 의뢰서를 같이 써 주세요,,Y
16,유치원,가을 숲놀이 활동은 10월 18일 금요일에 진행됩니다,일정,숲놀이|10월18일,0.85,Y,10월 18일에 가을 숲놀이를 합니다,,Y
17,초등학교,머릿니 예방을 위해 가정에서 머리 상태를 확인해 주세요,건강·안전,머릿니|위생,0.75,Y,집에서 머릿니가 있는지 확인해 주세요,,Y
18,초등학교,영어 캠프 참가비는 40000원입니다,비용,영어캠프|참가비,0.8,Y,영어 캠프 참가비는 40000원입니다,,Y
19,유치원,김장 체험 활동을 위해 앞치마와 머릿수건을 준비해 주세요,준비물,김장체험|앞치마|머릿수건,0.9,Y,앞치마와 머릿수건을 준비해 주세요,,Y
20,유치원,통학버스 결석 연락은 오전 8시 30분 전까지 해 주세요,제출,통학버스|결석연락,0.9,Y,버스를 타지 않으면 오전 8시 30분 전까지 알려 주세요,,Y
21,초등학교,평가 결과 상담이 필요한 경우 담임교사에게 연락해 주세요,기타,평가결과|상담,0.65,Y,평가 상담이 필요하면 담임선생님께 연락해 주세요,,Y
22,유치원,인형극 관람비 5000원은 다음 주 월요일까지 납부해 주세요,비용,인형극|관람비,0.85,Y,인형극 관람비 5000원을 내 주세요,,Y
23,유치원,독감 예방접종 여부를 건강기록 카드에 표시해 주세요,제출,독감|예방접종|건강기록,0.9,Y,독감 예방접종 여부를 카드에 써 주세요,,Y
24,초등학교,태블릿 파손 예방을 위해 보호 케이스를 사용해 주세요,건강·안전,태블릿|보호케이스,0.65,Y,태블릿 보호 케이스를 사용해 주세요,,Y
25,초등학교,결석 시에는 오전 9시 전까지 학교 앱으로 결석 사유를 입력해 주세요,제출,결석|학교앱,0.95,Y,결석하면 오전 9시 전까지 이유를 앱에 써 주세요,Nếu nghỉ học vui lòng nhập lý do trên ứng dụng trước 9 giờ sáng,Y
26,유치원,간식비 15000원은 매월 10일 자동이체됩니다,비용,간식비|자동이체,0.8,N,간식비 15000원이 매월 10일에 빠져나갑니다,Phí ăn nhẹ 15000 won sẽ được tự động trừ vào ngày 10 hằng tháng,N
27,유치원,크리스마스 발표회는 12월 20일 금요일 강당에서 열립니다,일정,발표회|크리스마스,0.9,Y,12월 20일에 크리스마스 발표회가 있습니다,,Y
28,유치원,낮잠 이불은 매주 금요일 가정으로 보내니 세탁해 주세요,준비물,낮잠이불|세탁,0.85,Y,낮잠 이불을 빨아서 보내 주세요,,Y
29,유치원,방과후 미술 활동은 매주 화요일 오후에 진행됩니다,일정,방과후미술|화요일,0.65,N,방과후 미술은 화요일 오후에 합니다,,N
30,유치원,졸업사진 촬영 동의서를 제출하지 않으면 촬영이 어렵습니다,제출,졸업사진|동의서,1.0,Y,졸업사진을 찍으려면 동의서를 내야 합니다,,Y
31,초등학교,운동회 당일 급식은 제공되지 않으니 점심 도시락을 준비해 주세요,준비물,운동회|도시락,0.95,Y,운동회 날 점심 도시락을 준비해 주세요,,Y
32,유치원,원아 안전을 위해 귀걸이 목걸이 등 장신구 착용을 피해주세요,건강·안전,장신구|안전,0.8,Y,아이 안전을 위해 장신구는 하지 않게 해 주세요,,Y
33,초등학교,스쿨뱅킹 계좌 변경 신청서는 행정실에 제출해 주세요,제출,스쿨뱅킹|계좌변경,0.9,Y,스쿨뱅킹 계좌를 바꾸려면 신청서를 내 주세요,,Y
34,초등학교,교실 사물함 정리를 위해 이름표 스티커를 준비해 주세요,준비물,사물함|이름표,0.7,Y,사물함 이름표 스티커를 준비해 주세요,,Y
35,초등학교,학생 건강검진은 5월 16일 목요일 오전에 실시됩니다,건강·안전,건강검진,0.85,Y,5월 16일 오전에 건강검진을 합니다,Khám sức khỏe học sinh sẽ diễn ra sáng ngày 16 tháng 5,Y
36,유치원,발표회 당일 아이들은 오전 9시까지 등원해야 합니다,일정,발표회|등원시간,0.95,Y,발표회 날 오전 9시까지 와 주세요,,Y
37,초등학교,개인 물병을 매일 세척하여 보내 주세요,준비물,개인물병|위생,0.8,Y,깨끗한 개인 물병을 매일 보내 주세요,Vui lòng gửi bình nước cá nhân sạch mỗi ngày,Y
38,유치원,원내 체험놀이가 있는 날에는 편한 바지와 운동화를 착용해 주세요,준비물,체험놀이|운동화,0.8,Y,체험놀이 날 편한 옷과 운동화를 신겨 주세요,,Y
39,유치원,현장학습 도시락은 아이가 먹기 쉬운 음식으로 준비해 주세요,준비물,현장학습|도시락,0.95,Y,아이가 먹기 쉬운 도시락을 준비해 주세요,,Y
40,초등학교,감염병 예방을 위해 발열 또는 기침 증상이 있으면 담임교사에게 알려 주세요,건강·안전,감염병|발열|기침,0.9,Y,열이나 기침이 있으면 담임선생님께 알려 주세요,Nếu trẻ sốt hoặc ho vui lòng báo cho giáo viên chủ nhiệm,Y
41,초등학교,임시공휴일 지정으로 10월 2일은 학교에 오지 않습니다,일정,임시공휴일|휴업,0.85,N,10월 2일은 학교에 오지 않습니다,,N
42,초등학교,1인 1악기 수업을 위해 리코더를 다음 주까지 준비해 주세요,준비물,리코더|음악수업,0.9,Y,다음 주까지 리코더를 준비해 주세요,,Y
43,초등학교,응급처치 동의서를 아직 제출하지 않은 가정은 이번 주 안에 제출해 주세요,제출,응급처치|동의서,1.0,Y,이번 주 안에 응급처치 동의서를 내 주세요,,Y
44,초등학교,학생 기초조사서를 내일까지 담임선생님께 제출해 주세요,제출,기초조사서,1.0,Y,내일까지 학생 기초조사서를 내 주세요,,Y
45,유치원,겨울방학 방과후 과정 신청 여부를 다음 주까지 알려 주세요,제출,겨울방학|방과후과정,0.9,Y,겨울방학 방과후 과정 신청 여부를 알려 주세요,,Y
46,초등학교,전입생 서류는 주민등록등본과 예방접종 확인서입니다,제출,전입생|등본|예방접종,0.85,Y,전입생은 등본과 예방접종 확인서를 내 주세요,,Y
47,초등학교,양성평등 교육 자료를 가정에서 함께 확인해 주세요,건강·안전,양성평등|교육자료,0.65,Y,양성평등 교육 자료를 함께 확인해 주세요,,Y
48,초등학교,급식 모니터링 참여 신청을 원하는 학부모님은 신청서를 제출해 주세요,제출,급식모니터링|학부모,0.75,Y,급식 모니터링을 원하면 신청서를 내 주세요,,Y
49,초등학교,환경보호 캠페인을 위해 개인 텀블러 사용을 권장합니다,기타,환경보호|텀블러,0.45,N,개인 텀블러 사용을 권장합니다,,N
50,유치원,방과후 과정 귀가 시간 변경은 키즈노트로 미리 알려 주세요,제출,방과후과정|귀가시간,0.9,Y,귀가 시간이 바뀌면 키즈노트로 알려 주세요,,Y
51,유치원,학부모 상담 희망 시간을 키즈노트 설문으로 선택해 주세요,제출,학부모상담|희망시간,0.9,Y,상담 시간을 키즈노트 설문에서 골라 주세요,,Y
52,유치원,통학버스 탑승 시 안전벨트를 꼭 착용합니다,건강·안전,통학버스|안전벨트,0.85,Y,버스를 탈 때 안전벨트를 꼭 합니다,,Y
53,초등학교,토요 스포츠클럽 참가 신청은 이번 주 수요일까지 받습니다,제출,스포츠클럽|참가신청,0.85,Y,이번 주 수요일까지 스포츠클럽을 신청해 주세요,,Y
54,초등학교,종업식 당일에는 급식 없이 4교시 후 하교합니다,일정,종업식|급식없음,0.85,N,종업식 날에는 급식 없이 4교시 후 집에 갑니다,,N
55,유치원,운동회는 9월 27일 금요일 유치원 강당에서 진행됩니다,일정,운동회|강당,0.9,Y,9월 27일 유치원 강당에서 운동회를 합니다,,Y
56,초등학교,체험학습 당일 오전 8시 40분까지 교실로 등교해 주세요,일정,체험학습|등교시간,0.95,Y,체험학습 날 오전 8시 40분까지 학교에 오세요,,Y
57,초등학교,등하굣길 안전을 위해 횡단보도에서는 반드시 좌우를 살펴보도록 지도해 주세요,건강·안전,교통안전|횡단보도,0.85,Y,횡단보도에서 좌우를 보고 건너도록 알려 주세요,Vui lòng nhắc trẻ nhìn hai bên khi qua đường,Y
58,초등학교,체험학습 보험 가입을 위해 주민등록번호 뒷자리를 비공개로 제출해 주세요,제출,체험학습|보험,0.9,Y,보험 가입에 필요한 정보를 제출해 주세요,,Y
59,초등학교,급식 알레르기 대체식 신청서는 보건실로 제출해 주세요,제출,급식알레르기|대체식,0.95,Y,급식 대체식을 원하면 신청서를 보건실에 내 주세요,,Y
60,초등학교,교과서 분실 시 개별 구매가 필요하니 이름표를 붙여 관리해 주세요,기타,교과서|이름표,0.6,Y,교과서에 이름표를 붙여 주세요,Vui lòng dán nhãn tên lên sách giáo khoa,Y
61,유치원,학부모 자원봉사 신청은 선착순으로 접수됩니다,제출,자원봉사|신청,0.75,Y,학부모 자원봉사는 먼저 신청한 순서로 받습니다,,Y
62,유치원,재난안전교육 후 가정 연계 활동지를 보내 드립니다,기타,재난안전교육|활동지,0.5,N,재난안전 활동지를 집으로 보냅니다,,N
63,초등학교,겨울철 등교 시 장갑과 목도리를 착용해 주세요,준비물,장갑|목도리,0.65,N,추운 날에는 장갑과 목도리를 하면 좋습니다,,N
64,유치원,현장학습 참가비 14000원을 납부해 주세요,비용,현장학습|참가비,0.9,Y,현장학습 참가비 14000원을 내 주세요,,Y
65,초등학교,학교 규칙 준수를 위해 복도에서는 뛰지 않도록 지도해 주세요,건강·안전,복도안전|생활지도,0.7,Y,복도에서 뛰지 않게 알려 주세요,,Y
66,초등학교,새 학년 교과서는 개학일에 배부합니다,기타,교과서|개학일,0.45,N,새 교과서는 개학일에 나눠 줍니다,,N
67,초등학교,보건소 구강검진은 6월 12일 수요일에 진행됩니다,건강·안전,구강검진|보건소,0.8,Y,6월 12일에 구강검진을 합니다,,Y
68,초등학교,합창부 오디션은 4월 15일 음악실에서 실시됩니다,일정,합창부|오디션,0.8,Y,4월 15일 음악실에서 합창부 오디션이 있습니다,,Y
69,초등학교,태풍 예보 시 등교 시간 변경 여부를 학교 앱으로 안내합니다,건강·안전,태풍|등교시간,0.8,N,태풍 때 등교 시간 변경은 앱으로 알려 줍니다,,N
70,초등학교,학예회 참가 의상은 흰색 상의와 검정색 하의입니다,준비물,학예회|의상,0.85,Y,학예회 때 흰색 윗옷과 검정색 바지를 준비해 주세요,Vui lòng chuẩn bị áo trắng và quần đen cho buổi biểu diễn,Y
71,초등학교,학교 주변 공사로 인해 정문 대신 후문을 이용해 주세요,건강·안전,학교공사|후문,0.85,Y,공사 때문에 후문으로 다녀 주세요,,Y
72,초등학교,학급 문고 도서 기증을 희망하는 가정은 책을 보내 주세요,기타,학급문고|도서기증,0.45,N,책 기증을 원하는 가정은 책을 보내 주세요,,N
73,유치원,유치원 평가 설문에 보호자 한 분이 응답해 주세요,제출,유치원평가|설문,0.75,Y,보호자 한 분이 평가 설문에 응답해 주세요,,Y
74,초등학교,과학 실험을 위해 빈 페트병 1개를 깨끗이 씻어 보내 주세요,준비물,과학실험|페트병,0.8,Y,빈 페트병 1개를 씻어서 보내 주세요,,Y
75,유치원,하원 시간이 변경되는 경우 오후 1시 전까지 키즈노트로 알려 주세요,제출,하원시간|키즈노트,0.95,Y,하원 시간이 바뀌면 오후 1시 전까지 키즈노트로 알려 주세요,Nếu giờ đón trẻ thay đổi vui lòng báo qua Kids Note trước 1 giờ chiều,Y
76,초등학교,공개수업 당일 주차 공간이 부족하니 대중교통을 이용해 주세요,기타,공개수업|주차,0.65,Y,공개수업 날에는 대중교통을 이용해 주세요,,Y
77,유치원,개인 물통은 매일 깨끗이 씻어 이름을 붙여 보내 주세요,준비물,물통|이름표|위생,0.9,Y,깨끗한 물통에 이름을 붙여 보내 주세요,,Y
78,유치원,요리 활동 알레르기 여부를 설문으로 응답해 주세요,제출,요리활동|알레르기|설문,0.95,Y,알레르기 여부를 설문으로 알려 주세요,,Y
79,초등학교,학기말 교과서 반납 안내에 따라 도서 상태를 확인해 주세요,기타,교과서|반납,0.55,Y,교과서 상태를 확인해 주세요,,Y
80,유치원,봄 현장학습은 4월 19일 어린이대공원에서 진행됩니다,일정,현장학습|어린이대공원,0.9,Y,4월 19일에 어린이대공원으로 갑니다,,Y
81,유치원,생일잔치가 있는 날에는 개인 선물을 보내지 않습니다,기타,생일잔치|선물,0.45,N,생일잔치 날 개인 선물은 보내지 않습니다,Không gửi quà cá nhân vào ngày sinh nhật chung,N
82,초등학교,1학기 학부모 총회는 3월 22일 금요일 오후 2시에 강당에서 열립니다,일정,학부모총회|강당,0.85,Y,3월 22일 오후 2시에 학부모 총회가 있습니다,,Y
83,초등학교,영어 캠프 신청서는 6월 20일까지 제출해 주세요,제출,영어캠프|신청서,0.95,Y,6월 20일까지 영어 캠프 신청서를 내 주세요,,Y
84,유치원,원아 사진 사용 동의 여부를 금요일까지 제출해 주세요,제출,사진사용|동의,0.95,Y,금요일까지 사진 사용 동의 여부를 내 주세요,,Y
85,유치원,원내 인형극 관람은 11월 7일 오전에 진행됩니다,일정,인형극|11월7일,0.75,N,11월 7일 오전에 인형극을 봅니다,,N
86,초등학교,학부모 연수는 6월 18일 온라인으로 진행됩니다,일정,학부모연수|온라인,0.75,Y,6월 18일에 온라인 학부모 연수가 있습니다,,Y
87,초등학교,교육급여 신청은 주민센터 또는 온라인 복지로에서 가능합니다,비용,교육급여|복지로,0.8,Y,교육급여는 주민센터나 복지로에서 신청합니다,,Y
88,초등학교,졸업앨범 구입 신청서를 다음 주 화요일까지 제출해 주세요,제출,졸업앨범|구입신청,0.9,Y,다음 주 화요일까지 졸업앨범 신청서를 내 주세요,,Y
89,유치원,등원 전 발열이 있으면 가정에서 휴식하도록 해 주세요,건강·안전,발열|등원,0.95,Y,열이 나면 유치원에 오지 말고 쉬게 해 주세요,,Y
90,초등학교,감염병 확진 시 등교하지 말고 학교로 즉시 연락해 주세요,건강·안전,감염병|확진|연락,1.0,Y,감염병에 걸리면 학교에 오지 말고 연락해 주세요,,Y
91,초등학교,학부모 공개수업 참관 신청은 학교 앱에서 가능합니다,제출,공개수업|참관신청,0.85,Y,공개수업 참관은 학교 앱에서 신청합니다,,Y
92,초등학교,학부모 상담 주간 신청은 이번 주 목요일까지 가능합니다,일정,학부모상담|신청,0.85,Y,이번 주 목요일까지 학부모 상담을 신청할 수 있습니다,Có thể đăng ký tư vấn phụ huynh đến thứ Năm tuần này,Y
93,초등학교,긴급 연락처가 바뀐 경우 담임교사에게 바로 알려 주세요,제출,긴급연락처|변경,0.95,Y,긴급 연락처가 바뀌면 바로 알려 주세요,,Y
94,유치원,등원 시 아이 손을 잡고 현관까지 안전하게 동행해 주세요,건강·안전,등원|현관|안전,0.85,Y,등원할 때 아이 손을 잡고 현관까지 와 주세요,,Y
95,초등학교,방과후학교 1기 수강 신청은 5월 3일 오후 5시에 마감됩니다,제출,방과후학교|수강신청,0.95,Y,5월 3일 오후 5시까지 방과후학교를 신청해 주세요,Vui lòng đăng ký lớp sau giờ học trước 5 giờ chiều ngày 3 tháng 5,Y
96,초등학교,독서 골든벨은 5월 30일 도서관에서 열립니다,일정,독서골든벨|도서관,0.75,N,5월 30일 도서관에서 독서 골든벨이 있습니다,,N
97,초등학교,방학 중 돌봄교실 운영 시간은 오전 9시부터 오후 5시까지입니다,일정,방학돌봄|운영시간,0.75,N,방학 돌봄교실은 오전 9시부터 오후 5시까지 합니다,,N
98,유치원,숲놀이 날에는 긴팔 옷과 모자를 준비해 주세요,준비물,숲놀이|긴팔|모자,0.9,Y,숲놀이 날 긴팔 옷과 모자를 준비해 주세요,,Y
99,유치원,여벌옷은 계절에 맞게 속옷까지 포함해 준비해 주세요,준비물,여벌옷|속옷,0.9,Y,계절에 맞는 여벌옷과 속옷을 준비해 주세요,,Y
100,초등학교,폭염주의보 발령 시 야외 체육 활동은 실내 활동으로 변경됩니다,건강·안전,폭염|실내활동,0.75,N,매우 더운 날에는 체육을 실내에서 합니다,,N
101,초등학교,전교임원 후보자는 후보 등록 신청서를 제출해야 합니다,제출,전교임원|후보등록,0.9,Y,전교임원 후보는 신청서를 내야 합니다,,Y
102,초등학교,자전거 통학 학생은 반드시 헬멧을 착용해야 합니다,건강·안전,자전거|헬멧,0.9,Y,자전거로 학교에 오면 헬멧을 써야 합니다,,Y
103,초등학교,온라인 수업 전에는 태블릿 충전 상태를 확인해 주세요,준비물,온라인수업|태블릿,0.85,Y,온라인 수업 전에 태블릿을 충전해 주세요,,Y
104,초등학교,실종 유괴 예방교육이 6월 첫째 주에 실시됩니다,건강·안전,실종유괴|예방교육,0.7,N,6월 첫째 주에 실종 유괴 예방교육을 합니다,,N
105,초등학교,스마트폰 과의존 예방교육 자료를 가정에서 함께 읽어 주세요,건강·안전,스마트폰|예방교육,0.65,Y,스마트폰 예방교육 자료를 함께 읽어 주세요,,Y
106,유치원,감기 증상이 있는 경우 등원 전 담임교사에게 연락해 주세요,건강·안전,감기|등원,0.9,Y,감기 증상이 있으면 등원 전에 선생님께 연락해 주세요,Nếu trẻ có triệu chứng cảm vui lòng liên hệ giáo viên trước khi đến lớp,Y
107,유치원,손 씻기 생활화를 위해 가정에서도 함께 지도해 주세요,건강·안전,손씻기|위생,0.7,Y,집에서도 손 씻기를 알려 주세요,,Y
108,초등학교,디지털 교과서 계정 안내장은 학생 편으로 배부됩니다,기타,디지털교과서|계정,0.5,N,디지털 교과서 계정 안내장을 나눠 줍니다,,N
109,유치원,실내 놀이용 미끄럼방지 양말을 보내 주세요,준비물,미끄럼방지양말|실내놀이,0.8,Y,미끄럼방지 양말을 보내 주세요,,Y
110,초등학교,수학여행 준비물은 세면도구 여벌옷 필기도구입니다,준비물,수학여행|세면도구|여벌옷,0.95,Y,세면도구 여벌옷 필기도구를 준비해 주세요,,Y
111,초등학교,건강검진 전날 밤 9시 이후에는 간식을 먹지 않도록 지도해 주세요,건강·안전,건강검진|금식,0.9,Y,건강검진 전날 밤 9시 뒤에는 간식을 먹지 않게 해 주세요,Vui lòng nhắc trẻ không ăn đồ ăn nhẹ sau 9 giờ tối trước ngày khám,Y
112,초등학교,알레르기 조사서를 4월 26일까지 학교종이 앱으로 제출해 주세요,제출,알레르기|조사서|학교종이,1.0,Y,4월 26일까지 알레르기 조사서를 앱으로 내 주세요,Vui lòng nộp phiếu khảo sát dị ứng qua ứng dụng trước ngày 26 tháng 4,Y
113,초등학교,봄 소풍은 5월 10일 금요일에 학교 운동장에서 출발합니다,일정,봄소풍|5월10일,0.9,Y,5월 10일 금요일에 봄 소풍을 갑니다,Chuyến dã ngoại mùa xuân diễn ra vào thứ Sáu ngày 10 tháng 5,Y
114,초등학교,졸업앨범비 62000원은 신청자에 한해 납부합니다,비용,졸업앨범비,0.8,Y,졸업앨범을 신청한 사람만 62000원을 냅니다,,Y
115,초등학교,사이버폭력 예방 실천 서약서를 금요일까지 제출해 주세요,제출,사이버폭력|서약서,0.95,Y,금요일까지 사이버폭력 예방 서약서를 내 주세요,,Y
116,초등학교,과학의 날 행사는 4월 21일 각 교실에서 진행됩니다,일정,과학의날|행사,0.7,N,4월 21일에 과학의 날 행사를 합니다,,N
117,초등학교,학급 단체 사진 구입비는 5000원입니다,비용,단체사진|구입비,0.75,Y,단체 사진 구입비는 5000원입니다,,Y
118,초등학교,생존수영 교육비 18000원은 스쿨뱅킹으로 인출됩니다,비용,생존수영|교육비,0.85,N,생존수영 교육비 18000원이 스쿨뱅킹으로 빠져나갑니다,Phí lớp bơi sinh tồn 18000 won sẽ được trừ qua school banking,N
119,유치원,수료식은 2월 14일 금요일 오전 10시에 각 교실에서 진행됩니다,일정,수료식|교실,0.85,Y,2월 14일 오전 10시에 수료식이 있습니다,,Y
120,초등학교,우유 급식비는 한 달 18000원이며 스쿨뱅킹으로 납부됩니다,비용,우유급식비|스쿨뱅킹,0.75,N,우유 급식비는 한 달 18000원입니다,,N
121,초등학교,독서 골든벨 지정 도서는 학교 홈페이지에서 확인할 수 있습니다,기타,독서골든벨|지정도서,0.5,N,지정 도서는 학교 홈페이지에서 볼 수 있습니다,,N
122,초등학교,흡연 예방교육 가정 연계 활동지를 작성해 제출해 주세요,제출,흡연예방|활동지,0.85,Y,흡연 예방 활동지를 써서 내 주세요,,Y
123,유치원,가족 참여 수업은 5월 11일 토요일 오전에 진행됩니다,일정,가족참여수업,0.85,Y,5월 11일 오전에 가족 참여 수업이 있습니다,,Y
124,초등학교,학급 사진 촬영은 5월 8일 수요일에 진행됩니다,일정,사진촬영,0.7,Y,5월 8일에 학급 사진을 찍습니다,Lớp sẽ chụp ảnh vào ngày 8 tháng 5,Y
125,유치원,현장학습 참가 동의서를 월요일까지 제출해 주세요,제출,현장학습|동의서,1.0,Y,월요일까지 현장학습 동의서를 내 주세요,,Y
126,초등학교,민방위 훈련 중에는 학교 안내 방송에 따라 이동합니다,건강·안전,민방위|훈련,0.55,N,훈련 때는 학교 방송을 따라 움직입니다,,N
127,유치원,하원 차량 노선 변경 신청은 전날 오후 4시까지 가능합니다,제출,하원차량|노선변경,0.9,Y,차량 노선 변경은 전날 오후 4시까지 신청해 주세요,,Y
128,유치원,유아 기초조사서를 이번 주 금요일까지 제출해 주세요,제출,기초조사서,1.0,Y,금요일까지 유아 기초조사서를 내 주세요,,Y
129,초등학교,현장체험학습 당일에는 도시락 물 물티슈를 준비해 주세요,준비물,도시락|물|물티슈,0.95,Y,현장체험학습 날 도시락 물 물티슈를 준비해 주세요,Vui lòng chuẩn bị cơm hộp nước và khăn ướt cho ngày tham quan,Y
130,초등학교,가정 내 아동학대 예방 안내문을 보호자께서 확인해 주세요,건강·안전,아동학대|예방,0.7,Y,아동학대 예방 안내문을 확인해 주세요,,Y
131,초등학교,시력검사 결과 안과 진료가 필요한 학생은 가정통신문을 확인해 주세요,건강·안전,시력검사|안과,0.8,Y,시력검사 후 병원 진료가 필요하면 안내문을 확인해 주세요,,Y
132,초등학교,졸업식은 2월 7일 금요일 오전 10시에 체육관에서 진행됩니다,일정,졸업식|체육관,0.9,Y,2월 7일 오전 10시에 졸업식이 있습니다,,Y
133,초등학교,교내 와이파이 사용을 위한 정보보호 서약서를 제출해 주세요,제출,와이파이|정보보호,0.85,Y,와이파이 사용 서약서를 내 주세요,,Y
134,초등학교,원격수업 출석 확인은 오전 9시 30분까지 완료해야 합니다,제출,원격수업|출석확인,0.9,Y,오전 9시 30분까지 원격수업 출석을 확인해 주세요,,Y
135,초등학교,다음 주 월요일 현장체험학습 참가 신청서를 담임선생님께 제출해 주세요,제출,현장체험학습|신청서,1.0,Y,다음 주 월요일까지 현장체험학습 신청서를 내 주세요,Vui lòng nộp đơn đăng ký tham quan học tập trước thứ Hai tuần sau,Y
136,유치원,가족 참여 수업 참석 인원을 키즈노트로 알려 주세요,제출,가족참여수업|참석인원,0.9,Y,참석 인원을 키즈노트로 알려 주세요,,Y
137,유치원,학부모 공개수업은 5월 24일 금요일 오전 10시에 시작합니다,일정,공개수업|학부모,0.9,Y,5월 24일 오전 10시에 공개수업이 있습니다,Giờ học mở cho phụ huynh bắt đầu lúc 10 giờ sáng ngày 24 tháng 5,Y
138,초등학교,축구부 공개수업은 4월 12일 운동장에서 진행됩니다,일정,축구부|공개수업,0.7,N,4월 12일 운동장에서 축구부 공개수업이 있습니다,,N
139,유치원,생일잔치 사진은 키즈노트 앨범에서 확인할 수 있습니다,기타,생일잔치|사진,0.4,N,생일잔치 사진은 키즈노트에서 볼 수 있습니다,,N
140,초등학교,학급 생일잔치 간식은 학교에서 준비하므로 개인 간식은 보내지 않습니다,기타,생일잔치|간식,0.55,N,생일잔치 개인 간식은 보내지 않습니다,,N
141,유치원,학부모 참여 급식 모니터링 신청서를 제출해 주세요,제출,급식모니터링|신청서,0.8,Y,급식 모니터링 신청서를 내 주세요,,Y
142,유치원,방과후 특성화 활동 신청서는 3월 15일까지 제출해 주세요,제출,특성화활동|신청서,0.9,Y,3월 15일까지 특성화 활동 신청서를 내 주세요,,Y
143,유치원,새 학기 적응기간에는 오전 활동 후 하원합니다,일정,적응기간|하원,0.85,Y,적응기간에는 오전 활동 후 집에 갑니다,,Y
144,초등학교,실내화는 매주 금요일 가정으로 보내니 세탁 후 월요일에 가져오세요,준비물,실내화|세탁,0.8,Y,실내화를 빨아서 월요일에 가져오세요,Vui lòng giặt dép đi trong lớp và mang lại vào thứ Hai,Y
145,초등학교,독서기록장은 매주 금요일에 확인하니 가정에서 작성 여부를 살펴봐 주세요,기타,독서기록장,0.55,N,매주 금요일 독서기록장을 확인합니다,Sổ ghi chép đọc sách được kiểm tra vào thứ Sáu hằng tuần,N
146,유치원,급식 알레르기가 있는 유아는 알레르기 조사서를 제출해 주세요,제출,급식알레르기|조사서,1.0,Y,알레르기가 있으면 조사서를 내 주세요,,Y
147,유치원,적응기간 하원 시간을 보호자가 확인해 주세요,제출,적응기간|하원시간,0.85,Y,적응기간 하원 시간을 확인해 주세요,,Y
148,초등학교,운동회 개인 돗자리는 학부모석에서만 사용할 수 있습니다,기타,운동회|돗자리,0.55,N,운동회 돗자리는 학부모석에서만 씁니다,,N
149,초등학교,학생증 발급을 위해 증명사진 1장을 보내 주세요,준비물,학생증|증명사진,0.85,Y,학생증을 만들 사진 1장을 보내 주세요,,Y
