id,source_type,original_text,category,keywords,importance,action_required,easy_korean,vietnamese,tts_target
15,유치원,약을 보내는 경우 투약 의뢰서를 함께 작성해 주세요,제출,투약의뢰서|약,1.0,Y,약을 보낼 때 투약 의뢰서를 같이 써 주세요,,Y
16,유치원,학부모 상담은 4월 둘째 주에 개별 시간으로 진행됩니다,일정,학부모상담|개별시간,0.8,Y,4월 둘째 주에 학부모 상담이 있습니다,,Y
17,초등학교,방과후학교 수강료 25000원은 다음 달 5일 자동이체됩니다,비용,방과후학교|수강료,0.8,N,방과후학교 수강료 25000원이 다음 달 5일에 빠져나갑니다,Học phí lớp sau giờ học 25000 won sẽ được tự động trừ vào ngày 5 tháng sau,N
18,초등학교,여름방학 방과후 프로그램 안내문을 확인하고 희망 강좌를 선택해 주세요,제출,여름방학|방과후|희망강좌,0.85,Y,여름방학 방과후 강좌를 선택해 주세요,Vui lòng chọn lớp sau giờ học cho kỳ nghỉ hè,Y
19,유치원,소방대피훈련은 6월 4일 오전에 실시됩니다,건강·안전,소방대피훈련,0.7,N,6월 4일 오전에 소방대피훈련을 합니다,,N
20,초등학교,학생 기초조사서를 내일까지 담임선생님께 제출해 주세요,제출,기초조사서,1.0,Y,내일까지 학생 기초조사서를 내 주세요,,Y
21,초등학교,수학여행 준비물은 세면도구 여벌옷 필기도구입니다,준비물,수학여행|세면도구|여벌옷,0.95,Y,세면도구 여벌옷 필기도구를 준비해 주세요,,Y
22,초등학교,운동회 당일 급식은 제공되지 않으니 점심 도시락을 준비해 주세요,준비물,운동회|도시락,0.95,Y,운동회 날 점심 도시락을 준비해 주세요,,Y
23,초등학교,디지털 교과서 계정 안내장은 학생 편으로 배부됩니다,기타,디지털교과서|계정,0.5,N,디지털 교과서 계정 안내장을 나눠 줍니다,,N
24,초등학교,흡연 예방교육 가정 연계 활동지를 작성해 제출해 주세요,제출,흡연예방|활동지,0.85,Y,흡연 예방 활동지를 써서 내 주세요,,Y
25,초등학교,교내 안전점검으로 5월 17일 방과후 수업이 휴강됩니다,일정,안전점검|방과후휴강,0.85,N,5월 17일 방과후 수업은 쉽니다,,N
26,초등학교,개학일에는 방학 과제와 실내화를 꼭 가져오세요,준비물,개학일|방학과제|실내화,0.9,Y,개학일에 방학 과제와 실내화를 가져오세요,,Y
27,초등학교,아침 돌봄교실 신청은 선착순으로 접수됩니다,제출,돌봄교실|신청,0.85,Y,아침 돌봄교실은 먼저 신청한 순서로 받습니다,,Y
28,초등학교,합창부 오디션은 4월 15일 음악실에서 실시됩니다,일정,합창부|오디션,0.8,Y,4월 15일 음악실에서 합창부 오디션이 있습니다,,Y
29,유치원,생일잔치가 있는 날에는 개인 선물을 보내지 않습니다,기타,생일잔치|선물,0.45,N,생일잔치 날 개인 선물은 보내지 않습니다,Không gửi quà cá nhân vào ngày sinh nhật chung,N
30,초등학교,학교 주변 공사로 인해 정문 대신 후문을 이용해 주세요,건강·안전,학교공사|후문,0.85,Y,공사 때문에 후문으로 다녀 주세요,,Y
31,유치원,현장학습 참가비 14000원을 납부해 주세요,비용,현장학습|참가비,0.9,Y,현장학습 참가비 14000원을 내 주세요,,Y
32,초등학교,전학 예정 학생은 담임교사에게 미리 알려 주세요,제출,전학|담임교사,0.85,Y,전학할 예정이면 담임선생님께 알려 주세요,,Y
33,초등학교,우유 급식비는 한 달 18000원이며 스쿨뱅킹으로 납부됩니다,비용,우유급식비|스쿨뱅킹,0.75,N,우유 급식비는 한 달 18000원입니다,,N
34,유치원,발표회 의상비 25000원을 납부해 주세요,비용,발표회의상비,0.85,Y,발표회 의상비 25000원을 내 주세요,,Y
35,초등학교,학예회 참가 의상은 흰색 상의와 검정색 하의입니다,준비물,학예회|의상,0.85,Y,학예회 때 흰색 윗옷과 검정색 바지를 준비해 주세요,Vui lòng chuẩn bị áo trắng và quần đen cho buổi biểu diễn,Y
36,초등학교,보건소 구강검진은 6월 12일 수요일에 진행됩니다,건강·안전,구강검진|보건소,0.8,Y,6월 12일에 구강검진을 합니다,,Y
37,초등학교,교육급여 신청은 주민센터 또는 온라인 복지로에서 가능합니다,비용,교육급여|복지로,0.8,Y,교육급여는 주민센터나 복지로에서 신청합니다,,Y
38,초등학교,학급 문고 도서 기증을 희망하는 가정은 책을 보내 주세요,기타,학급문고|도서기증,0.45,N,책 기증을 원하는 가정은 책을 보내 주세요,,N
39,초등학교,학생증 발급을 위해 증명사진 1장을 보내 주세요,준비물,학생증|증명사진,0.85,Y,학생증을 만들 사진 1장을 보내 주세요,,Y
40,초등학교,학기말 교과서 반납 안내에 따라 도서 상태를 확인해 주세요,기타,교과서|반납,0.55,Y,교과서 상태를 확인해 주세요,,Y
41,유치원,통학버스 탑승 시 안전벨트를 꼭 착용합니다,건강·안전,통학버스|안전벨트,0.85,Y,버스를 탈 때 안전벨트를 꼭 합니다,,Y
42,초등학교,학급 사진 촬영은 5월 8일 수요일에 진행됩니다,일정,사진촬영,0.7,Y,5월 8일에 학급 사진을 찍습니다,Lớp sẽ chụp ảnh vào ngày 8 tháng 5,Y
43,초등학교,시력검사 결과 안과 진료가 필요한 학생은 가정통신문을 확인해 주세요,건강·안전,시력검사|안과,0.8,Y,시력검사 후 병원 진료가 필요하면 안내문을 확인해 주세요,,Y
44,초등학교,태풍 예보 시 등교 시간 변경 여부를 학교 앱으로 안내합니다,건강·안전,태풍|등교시간,0.8,N,태풍 때 등교 시간 변경은 앱으로 알려 줍니다,,N
45,초등학교,평가 결과 상담이 필요한 경우 담임교사에게 연락해 주세요,기타,평가결과|상담,0.65,Y,평가 상담이 필요하면 담임선생님께 연락해 주세요,,Y
46,유치원,급식 알레르기가 있는 유아는 알레르기 조사서를 제출해 주세요,제출,급식알레르기|조사서,1.0,Y,알레르기가 있으면 조사서를 내 주세요,,Y
47,초등학교,개인 물병을 매일 세척하여 보내 주세요,준비물,개인물병|위생,0.8,Y,깨끗한 개인 물병을 매일 보내 주세요,Vui lòng gửi bình nước cá nhân sạch mỗi ngày,Y
48,초등학교,방학 중 돌봄교실 운영 시간은 오전 9시부터 오후 5시까지입니다,일정,방학돌봄|운영시간,0.75,N,방학 돌봄교실은 오전 9시부터 오후 5시까지 합니다,,N
49,초등학교,머릿니 예방을 위해 가정에서 머리 상태를 확인해 주세요,건강·안전,머릿니|위생,0.75,Y,집에서 머릿니가 있는지 확인해 주세요,,Y
50,초등학교,우천 시에도 정상 등교하며 실내 활동으로 대체됩니다,일정,우천|실내활동,0.55,N,비가 와도 학교에 옵니다 활동은 실내에서 합니다,Dù trời mưa học sinh vẫn đi học bình thường và hoạt động trong nhà,N
51,초등학교,체험학습 불참 학생은 학교에서 별도 프로그램에 참여합니다,기타,체험학습|불참,0.55,N,체험학습에 가지 않으면 학교 프로그램을 합니다,,N
52,초등학교,건강검진 전날 밤 9시 이후에는 간식을 먹지 않도록 지도해 주세요,건강·안전,건강검진|금식,0.9,Y,건강검진 전날 밤 9시 뒤에는 간식을 먹지 않게 해 주세요,Vui lòng nhắc trẻ không ăn đồ ăn nhẹ sau 9 giờ tối trước ngày khám,Y
53,유치원,간식비 15000원은 매월 10일 자동이체됩니다,비용,간식비|자동이체,0.8,N,간식비 15000원이 매월 10일에 빠져나갑니다,Phí ăn nhẹ 15000 won sẽ được tự động trừ vào ngày 10 hằng tháng,N
54,유치원,어린이날 행사로 간편한 복장과 운동화를 착용해 주세요,준비물,어린이날|운동화,0.8,Y,어린이날 행사 때 편한 옷과 운동화를 신겨 주세요,,Y
55,유치원,통학버스 결석 연락은 오전 8시 30분 전까지 해 주세요,제출,통학버스|결석연락,0.9,Y,버스를 타지 않으면 오전 8시 30분 전까지 알려 주세요,,Y
56,초등학교,민방위 훈련 중에는 학교 안내 방송에 따라 이동합니다,건강·안전,민방위|훈련,0.55,N,훈련 때는 학교 방송을 따라 움직입니다,,N
57,유치원,입학식은 3월 4일 월요일 오전 10시에 유희실에서 진행됩니다,일정,입학식|유희실,0.9,Y,3월 4일 오전 10시에 입학식이 있습니다,,Y
58,초등학교,돌봄교실 간식비 30000원은 매월 초 납부합니다,비용,돌봄교실|간식비,0.8,Y,돌봄교실 간식비 30000원을 매월 초에 냅니다,,Y
59,초등학교,겨울철 등교 시 장갑과 목도리를 착용해 주세요,준비물,장갑|목도리,0.65,N,추운 날에는 장갑과 목도리를 하면 좋습니다,,N
60,초등학교,1인 1악기 수업을 위해 리코더를 다음 주까지 준비해 주세요,준비물,리코더|음악수업,0.9,Y,다음 주까지 리코더를 준비해 주세요,,Y
61,초등학교,급식비 지원 신청이 필요한 가정은 행정실로 문의해 주세요,비용,급식비|지원신청,0.8,Y,급식비 지원이 필요하면 행정실에 물어보세요,Nếu cần hỗ trợ tiền ăn vui lòng liên hệ văn phòng hành chính,Y
62,초등학교,체육대회 당일에는 체육복과 운동화를 착용하고 등교해 주세요,준비물,체육대회|체육복|운동화,0.95,Y,체육대회 날 체육복과 운동화를 준비해 주세요,Vui lòng mặc đồng phục thể dục và giày thể thao vào ngày hội thể thao,Y
63,초등학교,영어 캠프 참가비는 40000원입니다,비용,영어캠프|참가비,0.8,Y,영어 캠프 참가비는 40000원입니다,,Y
64,유치원,감기 증상이 있는 경우 등원 전 담임교사에게 연락해 주세요,건강·안전,감기|등원,0.9,Y,감기 증상이 있으면 등원 전에 선생님께 연락해 주세요,Nếu trẻ có triệu chứng cảm vui lòng liên hệ giáo viên trước khi đến lớp,Y
65,유치원,등원 전 발열이 있으면 가정에서 휴식하도록 해 주세요,건강·안전,발열|등원,0.95,Y,열이 나면 유치원에 오지 말고 쉬게 해 주세요,,Y
66,초등학교,스마트폰 과의존 예방교육 자료를 가정에서 함께 읽어 주세요,건강·안전,스마트폰|예방교육,0.65,Y,스마트폰 예방교육 자료를 함께 읽어 주세요,,Y
67,유치원,유아 기초조사서를 이번 주 금요일까지 제출해 주세요,제출,기초조사서,1.0,Y,금요일까지 유아 기초조사서를 내 주세요,,Y
68,유치원,학부모 공개수업은 5월 24일 금요일 오전 10시에 시작합니다,일정,공개수업|학부모,0.9,Y,5월 24일 오전 10시에 공개수업이 있습니다,Giờ học mở cho phụ huynh bắt đầu lúc 10 giờ sáng ngày 24 tháng 5,Y
69,초등학교,폭염주의보 발령 시 야외 체육 활동은 실내 활동으로 변경됩니다,건강·안전,폭염|실내활동,0.75,N,매우 더운 날에는 체육을 실내에서 합니다,,N
70,초등학교,교통안전 캠페인이 다음 주 등교 시간에 실시됩니다,건강·안전,교통안전|캠페인,0.65,N,다음 주 등교 시간에 교통안전 캠페인을 합니다,,N
71,초등학교,미술 시간에 사용할 색종이와 풀을 금요일까지 보내 주세요,준비물,색종이|풀,0.85,Y,금요일까지 색종이와 풀을 보내 주세요,,Y
72,초등학교,종업식 당일에는 급식 없이 4교시 후 하교합니다,일정,종업식|급식없음,0.85,N,종업식 날에는 급식 없이 4교시 후 집에 갑니다,,N
73,초등학교,생존수영 교육비 18000원은 스쿨뱅킹으로 인출됩니다,비용,생존수영|교육비,0.85,N,생존수영 교육비 18000원이 스쿨뱅킹으로 빠져나갑니다,Phí lớp bơi sinh tồn 18000 won sẽ được trừ qua school banking,N
74,초등학교,새 학년 교과서는 개학일에 배부합니다,기타,교과서|개학일,0.45,N,새 교과서는 개학일에 나눠 줍니다,,N
75,초등학교,봄 소풍은 5월 10일 금요일에 학교 운동장에서 출발합니다,일정,봄소풍|5월10일,0.9,Y,5월 10일 금요일에 봄 소풍을 갑니다,Chuyến dã ngoại mùa xuân diễn ra vào thứ Sáu ngày 10 tháng 5,Y
76,초등학교,공개수업 당일 주차 공간이 부족하니 대중교통을 이용해 주세요,기타,공개수업|주차,0.65,Y,공개수업 날에는 대중교통을 이용해 주세요,,Y
77,초등학교,온라인 수업 전에는 태블릿 충전 상태를 확인해 주세요,준비물,온라인수업|태블릿,0.85,Y,온라인 수업 전에 태블릿을 충전해 주세요,,Y
78,초등학교,감염병 확진 시 등교하지 말고 학교로 즉시 연락해 주세요,건강·안전,감염병|확진|연락,1.0,Y,감염병에 걸리면 학교에 오지 말고 연락해 주세요,,Y
79,초등학교,현장체험학습 당일에는 도시락 물 물티슈를 준비해 주세요,준비물,도시락|물|물티슈,0.95,Y,현장체험학습 날 도시락 물 물티슈를 준비해 주세요,Vui lòng chuẩn bị cơm hộp nước và khăn ướt cho ngày tham quan,Y
80,유치원,원복 착용일은 매주 월요일과 행사일입니다,기타,원복|착용일,0.55,N,원복은 월요일과 행사일에 입습니다,,N
81,초등학교,졸업식은 2월 7일 금요일 오전 10시에 체육관에서 진행됩니다,일정,졸업식|체육관,0.9,Y,2월 7일 오전 10시에 졸업식이 있습니다,,Y
82,초등학교,임시공휴일 지정으로 10월 2일은 학교에 오지 않습니다,일정,임시공휴일|휴업,0.85,N,10월 2일은 학교에 오지 않습니다,,N
83,초등학교,1학기 학부모 총회는 3월 22일 금요일 오후 2시에 강당에서 열립니다,일정,학부모총회|강당,0.85,Y,3월 22일 오후 2시에 학부모 총회가 있습니다,,Y
84,초등학교,독서기록장은 매주 금요일에 확인하니 가정에서 작성 여부를 살펴봐 주세요,기타,독서기록장,0.55,N,매주 금요일 독서기록장을 확인합니다,Sổ ghi chép đọc sách được kiểm tra vào thứ Sáu hằng tuần,N
85,초등학교,전입생 서류는 주민등록등본과 예방접종 확인서입니다,제출,전입생|등본|예방접종,0.85,Y,전입생은 등본과 예방접종 확인서를 내 주세요,,Y
86,초등학교,과학의 날 행사는 4월 21일 각 교실에서 진행됩니다,일정,과학의날|행사,0.7,N,4월 21일에 과학의 날 행사를 합니다,,N
87,초등학교,실내화는 매주 금요일 가정으로 보내니 세탁 후 월요일에 가져오세요,준비물,실내화|세탁,0.8,Y,실내화를 빨아서 월요일에 가져오세요,Vui lòng giặt dép đi trong lớp và mang lại vào thứ Hai,Y
88,유치원,입학식 당일 실내화와 개인 물병을 준비해 주세요,준비물,입학식|실내화|물병,0.9,Y,입학식 날 실내화와 물병을 준비해 주세요,,Y
89,초등학교,교실 사물함 정리를 위해 이름표 스티커를 준비해 주세요,준비물,사물함|이름표,0.7,Y,사물함 이름표 스티커를 준비해 주세요,,Y
90,초등학교,졸업앨범비 62000원은 신청자에 한해 납부합니다,비용,졸업앨범비,0.8,Y,졸업앨범을 신청한 사람만 62000원을 냅니다,,Y
91,초등학교,축구부 공개수업은 4월 12일 운동장에서 진행됩니다,일정,축구부|공개수업,0.7,N,4월 12일 운동장에서 축구부 공개수업이 있습니다,,N
92,유치원,낮잠 이불은 매주 금요일 가정으로 보내니 세탁해 주세요,준비물,낮잠이불|세탁,0.85,Y,낮잠 이불을 빨아서 보내 주세요,,Y
93,초등학교,급식 모니터링 참여 신청을 원하는 학부모님은 신청서를 제출해 주세요,제출,급식모니터링|학부모,0.75,Y,급식 모니터링을 원하면 신청서를 내 주세요,,Y
94,유치원,다음 주 월요일 숲 체험 활동이 있어 편한 운동화를 신겨 보내 주세요,준비물,숲체험|운동화,0.9,Y,숲 체험 날 편한 운동화를 신겨 주세요,Vui lòng cho trẻ mang giày thể thao thoải mái vào ngày trải nghiệm rừng,Y
95,초등학교,체험학습 보험 가입을 위해 주민등록번호 뒷자리를 비공개로 제출해 주세요,제출,체험학습|보험,0.9,Y,보험 가입에 필요한 정보를 제출해 주세요,,Y
96,초등학교,학급 준비물로 풀 가위 색연필을 다음 주까지 보내 주세요,준비물,풀|가위|색연필,0.9,Y,다음 주까지 풀 가위 색연필을 보내 주세요,Vui lòng gửi hồ dán kéo và bút màu trước tuần sau,Y
97,초등학교,학부모 공개수업 참관 신청은 학교 앱에서 가능합니다,제출,공개수업|참관신청,0.85,Y,공개수업 참관은 학교 앱에서 신청합니다,,Y
98,초등학교,친구사랑 주간 활동지가 배부되었으니 가정에서 함께 작성해 주세요,제출,친구사랑|활동지,0.75,Y,친구사랑 활동지를 집에서 함께 써 주세요,,Y
99,초등학교,온라인 학부모 연수 참여 링크는 당일 오전 문자로 발송됩니다,기타,학부모연수|참여링크,0.55,N,연수 링크는 당일 오전 문자로 보냅니다,,N
100,초등학교,1학기 중간 학업성취도 평가는 5월 둘째 주에 실시됩니다,일정,학업성취도|평가,0.75,N,5월 둘째 주에 학업성취도 평가가 있습니다,,N
101,초등학교,가정 내 아동학대 예방 안내문을 보호자께서 확인해 주세요,건강·안전,아동학대|예방,0.7,Y,아동학대 예방 안내문을 확인해 주세요,,Y
102,초등학교,원격수업 출석 확인은 오전 9시 30분까지 완료해야 합니다,제출,원격수업|출석확인,0.9,Y,오전 9시 30분까지 원격수업 출석을 확인해 주세요,,Y
103,초등학교,학생 정서행동 특성검사 안내문을 읽고 온라인 검사에 참여해 주세요,제출,정서행동검사|온라인,0.95,Y,정서행동 온라인 검사에 참여해 주세요,,Y
104,초등학교,스승의 날에는 청탁금지법에 따라 선물을 받지 않습니다,기타,스승의날|청탁금지법,0.55,N,스승의 날 선물은 받지 않습니다,,N
105,초등학교,교과서 분실 시 개별 구매가 필요하니 이름표를 붙여 관리해 주세요,기타,교과서|이름표,0.6,Y,교과서에 이름표를 붙여 주세요,Vui lòng dán nhãn tên lên sách giáo khoa,Y
106,유치원,학부모 상담 희망 시간을 키즈노트 설문으로 선택해 주세요,제출,학부모상담|희망시간,0.9,Y,상담 시간을 키즈노트 설문에서 골라 주세요,,Y
107,유치원,하원 시간이 변경되는 경우 오후 1시 전까지 키즈노트로 알려 주세요,제출,하원시간|키즈노트,0.95,Y,하원 시간이 바뀌면 오후 1시 전까지 키즈노트로 알려 주세요,Nếu giờ đón trẻ thay đổi vui lòng báo qua Kids Note trước 1 giờ chiều,Y
108,유치원,방과후 영어 활동비는 월 20000원입니다,비용,방과후영어|활동비,0.8,Y,방과후 영어 활동비는 한 달 20000원입니다,,Y
109,유치원,발표회 당일 아이들은 오전 9시까지 등원해야 합니다,일정,발표회|등원시간,0.95,Y,발표회 날 오전 9시까지 와 주세요,,Y
110,초등학교,환경보호 캠페인을 위해 개인 텀블러 사용을 권장합니다,기타,환경보호|텀블러,0.45,N,개인 텀블러 사용을 권장합니다,,N
111,초등학교,합창부 참가 희망자는 보호자 동의서를 제출해 주세요,제출,합창부|동의서,0.9,Y,합창부를 하려면 보호자 동의서를 내 주세요,,Y
112,초등학교,운동회 개인 돗자리는 학부모석에서만 사용할 수 있습니다,기타,운동회|돗자리,0.55,N,운동회 돗자리는 학부모석에서만 씁니다,,N
113,초등학교,자전거 통학 학생은 반드시 헬멧을 착용해야 합니다,건강·안전,자전거|헬멧,0.9,Y,자전거로 학교에 오면 헬멧을 써야 합니다,,Y
114,유치원,손 씻기 생활화를 위해 가정에서도 함께 지도해 주세요,건강·안전,손씻기|위생,0.7,Y,집에서도 손 씻기를 알려 주세요,,Y
115,초등학교,생존수영 교육은 6월 3일부터 6월 7일까지 진행됩니다,일정,생존수영|6월3일,0.9,Y,6월 3일부터 6월 7일까지 생존수영을 합니다,Lớp bơi sinh tồn diễn ra từ ngày 3 đến ngày 7 tháng 6,Y
116,유치원,간식비 환불은 장기 결석 시에만 가능합니다,비용,간식비|환불,0.65,N,간식비 환불은 오래 결석할 때만 됩니다,,N
117,초등학교,재난대피훈련은 5월 23일 오전 10시에 실시됩니다,건강·안전,재난대피훈련,0.75,N,5월 23일 오전 10시에 대피훈련을 합니다,,N
118,초등학교,수학여행 당일 멀미약은 가정에서 미리 복용하도록 해 주세요,건강·안전,수학여행|멀미약,0.85,Y,멀미약이 필요하면 집에서 미리 먹여 주세요,,Y
119,초등학교,학부모 상담 주간 신청은 이번 주 목요일까지 가능합니다,일정,학부모상담|신청,0.85,Y,이번 주 목요일까지 학부모 상담을 신청할 수 있습니다,Có thể đăng ký tư vấn phụ huynh đến thứ Năm tuần này,Y
120,초등학교,결석 시에는 오전 9시 전까지 학교 앱으로 결석 사유를 입력해 주세요,제출,결석|학교앱,0.95,Y,결석하면 오전 9시 전까지 이유를 앱에 써 주세요,Nếu nghỉ học vui lòng nhập lý do trên ứng dụng trước 9 giờ sáng,Y
121,유치원,방과후 미술 활동은 매주 화요일 오후에 진행됩니다,일정,방과후미술|화요일,0.65,N,방과후 미술은 화요일 오후에 합니다,,N
122,초등학교,학부모 연수는 6월 18일 온라인으로 진행됩니다,일정,학부모연수|온라인,0.75,Y,6월 18일에 온라인 학부모 연수가 있습니다,,Y
123,초등학교,체험학습 보고서는 등교 후 7일 이내에 제출해야 출석으로 인정됩니다,제출,체험학습|보고서|출석인정,1.0,Y,체험학습 보고서를 7일 안에 내야 출석으로 인정됩니다,Phải nộp báo cáo trải nghiệm trong 7 ngày để được công nhận đi học,Y
124,초등학교,학생 건강검진은 5월 16일 목요일 오전에 실시됩니다,건강·안전,건강검진,0.85,Y,5월 16일 오전에 건강검진을 합니다,Khám sức khỏe học sinh sẽ diễn ra sáng ngày 16 tháng 5,Y
125,초등학교,학교 도서관 이용 교육이 이번 주 각 학급에서 진행됩니다,기타,도서관|이용교육,0.45,N,이번 주에 도서관 이용 방법을 배웁니다,Tuần này học sinh sẽ học cách sử dụng thư viện,N
126,초등학교,인플루엔자 예방접종 여부를 건강조사서에 표시해 주세요,제출,인플루엔자|예방접종,0.9,Y,독감 예방접종 여부를 건강조사서에 써 주세요,,Y
127,유치원,현장학습 도시락은 아이가 먹기 쉬운 음식으로 준비해 주세요,준비물,현장학습|도시락,0.95,Y,아이가 먹기 쉬운 도시락을 준비해 주세요,,Y
128,초등학교,학교 규칙 준수를 위해 복도에서는 뛰지 않도록 지도해 주세요,건강·안전,복도안전|생활지도,0.7,Y,복도에서 뛰지 않게 알려 주세요,,Y
129,초등학교,양성평등 교육 자료를 가정에서 함께 확인해 주세요,건강·안전,양성평등|교육자료,0.65,Y,양성평등 교육 자료를 함께 확인해 주세요,,Y
130,초등학교,학급 생일잔치 간식은 학교에서 준비하므로 개인 간식은 보내지 않습니다,기타,생일잔치|간식,0.55,N,생일잔치 개인 간식은 보내지 않습니다,,N
131,초등학교,교내 글쓰기 대회 원고는 5월 1일까지 제출합니다,제출,글쓰기대회|원고,0.9,Y,5월 1일까지 글쓰기 대회 원고를 내 주세요,,Y
132,유치원,방과후 특성화 활동 신청서는 3월 15일까지 제출해 주세요,제출,특성화활동|신청서,0.9,Y,3월 15일까지 특성화 활동 신청서를 내 주세요,,Y
133,초등학교,방과후학교 1기 수강 신청은 5월 3일 오후 5시에 마감됩니다,제출,방과후학교|수강신청,0.95,Y,5월 3일 오후 5시까지 방과후학교를 신청해 주세요,Vui lòng đăng ký lớp sau giờ học trước 5 giờ chiều ngày 3 tháng 5,Y
134,초등학교,토요 스포츠클럽 참가 신청은 이번 주 수요일까지 받습니다,제출,스포츠클럽|참가신청,0.85,Y,이번 주 수요일까지 스포츠클럽을 신청해 주세요,,Y
135,유치원,봄 현장학습은 4월 19일 어린이대공원에서 진행됩니다,일정,현장학습|어린이대공원,0.9,Y,4월 19일에 어린이대공원으로 갑니다,,Y
136,초등학교,실종 유괴 예방교육이 6월 첫째 주에 실시됩니다,건강·안전,실종유괴|예방교육,0.7,N,6월 첫째 주에 실종 유괴 예방교육을 합니다,,N
137,초등학교,학교 우유 급식 신청은 4월 5일까지 가능합니다,제출,우유급식|신청,0.85,Y,4월 5일까지 우유 급식을 신청할 수 있습니다,,Y
138,초등학교,영어 캠프 신청서는 6월 20일까지 제출해 주세요,제출,영어캠프|신청서,0.95,Y,6월 20일까지 영어 캠프 신청서를 내 주세요,,Y
139,초등학교,졸업앨범 구입 신청서를 다음 주 화요일까지 제출해 주세요,제출,졸업앨범|구입신청,0.9,Y,다음 주 화요일까지 졸업앨범 신청서를 내 주세요,,Y
140,초등학교,독서 골든벨 지정 도서는 학교 홈페이지에서 확인할 수 있습니다,기타,독서골든벨|지정도서,0.5,N,지정 도서는 학교 홈페이지에서 볼 수 있습니다,,N
141,초등학교,학부모 총회 참석 여부를 3월 18일까지 학교 앱으로 응답해 주세요,제출,학부모총회|참석여부,0.95,Y,3월 18일까지 학부모 총회 참석 여부를 알려 주세요,,Y
142,유치원,개인 칫솔 컵 수건을 이름표를 붙여 보내 주세요,준비물,칫솔|컵|수건,0.95,Y,칫솔 컵 수건에 이름을 붙여 보내 주세요,,Y
143,유치원,겨울방학 방과후 과정 신청 여부를 다음 주까지 알려 주세요,제출,겨울방학|방과후과정,0.9,Y,겨울방학 방과후 과정 신청 여부를 알려 주세요,,Y
144,초등학교,급식 알레르기 대체식 신청서는 보건실로 제출해 주세요,제출,급식알레르기|대체식,0.95,Y,급식 대체식을 원하면 신청서를 보건실에 내 주세요,,Y
145,유치원,김장 체험 활동을 위해 앞치마와 머릿수건을 준비해 주세요,준비물,김장체험|앞치마|머릿수건,0.9,Y,앞치마와 머릿수건을 준비해 주세요,,Y
146,유치원,크리스마스 발표회는 12월 20일 금요일 강당에서 열립니다,일정,발표회|크리스마스,0.9,Y,12월 20일에 크리스마스 발표회가 있습니다,,Y
