batch_no,id,source_type,category,easy_korean,original_text,current_vietnamese,review_reason
21,124,초등학교,일정,5월 8일에 학급 사진을 찍습니다,학급 사진 촬영은 5월 8일 수요일에 진행됩니다,Lớp sẽ chụp ảnh vào ngày 8 tháng 5,"category:일정|terms:학급|keywords:월,일"
22,127,유치원,제출,차량 노선 변경은 전날 오후 4시까지 신청해 주세요,하원 차량 노선 변경 신청은 전날 오후 4시까지 가능합니다,,"category:제출|keywords:까지,신청|empty_vi"
23,137,유치원,일정,5월 24일 오전 10시에 공개수업이 있습니다,학부모 공개수업은 5월 24일 금요일 오전 10시에 시작합니다,Giờ học mở cho phụ huynh bắt đầu lúc 10 giờ sáng ngày 24 tháng 5,"category:일정|terms:공개수업|keywords:월,일"
24,144,초등학교,준비물,실내화를 빨아서 월요일에 가져오세요,실내화는 매주 금요일 가정으로 보내니 세탁 후 월요일에 가져오세요,Vui lòng giặt dép đi trong lớp và mang lại vào thứ Hai,"category:준비물|terms:실내화|keywords:월,일"
25,147,유치원,제출,적응기간 하원 시간을 확인해 주세요,적응기간 하원 시간을 보호자가 확인해 주세요,,category:제출|terms:하원|keywords:하원|empty_vi
26,155,유치원,건강·안전,6월 4일 오전에 소방대피훈련을 합니다,소방대피훈련은 6월 4일 오전에 실시됩니다,,"category:건강·안전|keywords:월,일|empty_vi"
27,158,유치원,비용,발표회 의상비 25000원을 내 주세요,발표회 의상비 25000원을 납부해 주세요,,category:비용|money|empty_vi
28,162,초등학교,비용,급식비 지원이 필요하면 행정실에 물어보세요,급식비 지원 신청이 필요한 가정은 행정실로 문의해 주세요,Nếu cần hỗ trợ tiền ăn vui lòng liên hệ văn phòng hành chính,"category:비용|terms:급식비,행정실,급식"
29,164,유치원,비용,요리 활동 재료비 8000원을 내 주세요,요리 활동 재료비 8000원을 납부해 주세요,,category:비용|money|empty_vi
30,168,초등학교,제출,합창부를 하려면 보호자 동의서를 내 주세요,합창부 참가 희망자는 보호자 동의서를 제출해 주세요,,category:제출|terms:동의서|keywords:동의서|empty_vi
