batch_no,id,source_type,category,easy_korean,original_text,current_vietnamese,review_reason,human_vi,review_status
12,92,초등학교,일정,이번 주 목요일까지 학부모 상담을 신청할 수 있습니다,학부모 상담 주간 신청은 이번 주 목요일까지 가능합니다,Có thể đăng ký tư vấn phụ huynh đến thứ Năm tuần này,"category:일정|terms:상담,학부모 상담|keywords:일,까지,신청",Bạn có thể đăng ký tư vấn phụ huynh trước thứ Năm tuần này.,reviewed
13,95,초등학교,제출,5월 3일 오후 5시까지 방과후학교를 신청해 주세요,방과후학교 1기 수강 신청은 5월 3일 오후 5시에 마감됩니다,Vui lòng đăng ký lớp sau giờ học trước 5 giờ chiều ngày 3 tháng 5,"category:제출|terms:방과후학교|keywords:월,일,까지,신청,방과후",Vui lòng đăng ký lớp học ngoại khóa trước 5 giờ chiều ngày 3 tháng 5.,reviewed
14,97,초등학교,일정,방학 돌봄교실은 오전 9시부터 오후 5시까지 합니다,방학 중 돌봄교실 운영 시간은 오전 9시부터 오후 5시까지입니다,,"category:일정|terms:돌봄교실,방학|keywords:까지,돌봄|empty_vi",Lớp trông giữ trẻ trong kỳ nghỉ hoạt động từ 9 giờ sáng đến 5 giờ chiều.,reviewed
15,120,초등학교,비용,우유 급식비는 한 달 18000원입니다,우유 급식비는 한 달 18000원이며 스쿨뱅킹으로 납부됩니다,,"category:비용|terms:급식비,급식|money|empty_vi",Tiền sữa học đường là 18.000 won một tháng.,reviewed
16,128,유치원,제출,금요일까지 유아 기초조사서를 내 주세요,유아 기초조사서를 이번 주 금요일까지 제출해 주세요,,"category:제출|terms:조사서|keywords:일,까지,조사서|empty_vi",Vui lòng nộp bản khảo sát cơ bản của trẻ em trước thứ Sáu.,reviewed
17,129,초등학교,준비물,현장체험학습 날 도시락 물 물티슈를 준비해 주세요,현장체험학습 당일에는 도시락 물 물티슈를 준비해 주세요,Vui lòng chuẩn bị cơm hộp nước và khăn ướt cho ngày tham quan,"category:준비물|terms:체험학습,현장체험학습,도시락|keywords:준비,체험학습","Vui lòng chuẩn bị hộp cơm trưa, nước và khăn giấy ướt vào ngày đi học tập trải nghiệm.",reviewed
18,163,초등학교,제출,3월 18일까지 학부모 총회 참석 여부를 알려 주세요,학부모 총회 참석 여부를 3월 18일까지 학교 앱으로 응답해 주세요,,"category:제출|terms:학부모 총회|keywords:월,일,까지|empty_vi",Vui lòng thông báo cho chúng tôi bạn có tham dự đại hội phụ huynh hay không trước ngày 18 tháng 3.,reviewed
19,165,초등학교,제출,4월 30일까지 개인정보 동의서를 내 주세요,4월 30일까지 개인정보 수집 이용 동의서를 제출해 주세요,Vui lòng nộp giấy đồng ý thông tin cá nhân trước ngày 30 tháng 4,"category:제출|terms:동의서|keywords:월,일,까지,동의서",Vui lòng nộp giấy đồng ý cung cấp thông tin cá nhân trước ngày 30 tháng 4.,reviewed
20,167,초등학교,준비물,개학일에 방학 과제와 실내화를 가져오세요,개학일에는 방학 과제와 실내화를 꼭 가져오세요,,"category:준비물|terms:실내화,방학,개학|keywords:일|empty_vi",Vui lòng mang theo bài tập kỳ nghỉ và dép đi trong nhà vào ngày khai giảng.,reviewed
21,169,초등학교,준비물,금요일까지 색종이와 풀을 보내 주세요,미술 시간에 사용할 색종이와 풀을 금요일까지 보내 주세요,,"category:준비물|terms:색종이,풀|keywords:일,까지|empty_vi",Vui lòng gửi giấy màu và hồ dán trước thứ Sáu.,reviewed
22,176,유치원,제출,수요일까지 동물 체험 동의서를 내 주세요,동물 체험 참가 동의서를 수요일까지 제출해 주세요,,"category:제출|terms:동의서|keywords:일,까지,동의서|empty_vi",Vui lòng nộp giấy đồng ý trải nghiệm động vật trước thứ Tư.,reviewed
23,195,초등학교,제출,독감 예방접종 여부를 건강조사서에 써 주세요,인플루엔자 예방접종 여부를 건강조사서에 표시해 주세요,,"category:제출|terms:조사서,예방접종,독감|keywords:조사서|empty_vi",Vui lòng ghi rõ tình trạng tiêm phòng cúm vào bản khảo sát sức khỏe.,reviewed
24,31,초등학교,준비물,운동회 날 점심 도시락을 준비해 주세요,운동회 당일 급식은 제공되지 않으니 점심 도시락을 준비해 주세요,,"category:준비물|terms:도시락,운동회|keywords:준비|empty_vi",Vui lòng chuẩn bị hộp cơm trưa vào ngày hội thao.,reviewed
25,33,초등학교,제출,스쿨뱅킹 계좌를 바꾸려면 신청서를 내 주세요,스쿨뱅킹 계좌 변경 신청서는 행정실에 제출해 주세요,,"category:제출|terms:신청서,스쿨뱅킹|keywords:신청|empty_vi","Nếu muốn thay đổi tài khoản ngân hàng trường học, vui lòng nộp đơn đăng ký.",reviewed
26,45,유치원,제출,겨울방학 방과후 과정 신청 여부를 알려 주세요,겨울방학 방과후 과정 신청 여부를 다음 주까지 알려 주세요,,"category:제출|terms:방학|keywords:신청,방과후|empty_vi",Vui lòng cho biết bạn có đăng ký khóa học ngoại khóa kỳ nghỉ đông hay không.,reviewed
27,48,초등학교,제출,급식 모니터링을 원하면 신청서를 내 주세요,급식 모니터링 참여 신청을 원하는 학부모님은 신청서를 제출해 주세요,,"category:제출|terms:신청서,급식|keywords:신청|empty_vi","Nếu bạn muốn tham gia giám sát bữa ăn, vui lòng nộp đơn đăng ký.",reviewed
28,53,초등학교,제출,이번 주 수요일까지 스포츠클럽을 신청해 주세요,토요 스포츠클럽 참가 신청은 이번 주 수요일까지 받습니다,,"category:제출|keywords:일,까지,신청|empty_vi",Vui lòng đăng ký câu lạc bộ thể thao trước thứ Tư tuần này.,reviewed
29,55,유치원,일정,9월 27일 유치원 강당에서 운동회를 합니다,운동회는 9월 27일 금요일 유치원 강당에서 진행됩니다,,"category:일정|terms:운동회|keywords:월,일|empty_vi",Hội thao sẽ được tổ chức tại hội trường trường mẫu giáo vào ngày 27 tháng 9.,reviewed
30,56,초등학교,일정,체험학습 날 오전 8시 40분까지 학교에 오세요,체험학습 당일 오전 8시 40분까지 교실로 등교해 주세요,,"category:일정|terms:체험학습|keywords:까지,체험학습|empty_vi",Vui lòng đến trường trước 8:40 sáng vào ngày đi học tập trải nghiệm.,reviewed
