id,source_type,category,ko,vi
51,유치원,제출,상담 시간을 키즈노트 설문에서 골라 주세요,Vui lòng chọn thời gian tư vấn trong khảo sát trên Kids Note.
54,초등학교,일정,종업식 날에는 급식 없이 4교시 후 집에 갑니다,"Vào ngày bế giảng, học sinh sẽ về nhà sau tiết 4 mà không có bữa ăn ở trường."
58,초등학교,제출,보험 가입에 필요한 정보를 제출해 주세요,Vui lòng nộp các thông tin cần thiết để đăng ký bảo hiểm.
64,유치원,비용,현장학습 참가비 14000원을 내 주세요,Vui lòng đóng 14.000 won phí tham gia học tập trải nghiệm.
67,초등학교,건강·안전,6월 12일에 구강검진을 합니다,Khám răng miệng sẽ diễn ra vào ngày 12 tháng 6.
68,초등학교,일정,4월 15일 음악실에서 합창부 오디션이 있습니다,Có buổi thử giọng của câu lạc bộ hợp xướng tại phòng âm nhạc vào ngày 15 tháng 4.
80,유치원,일정,4월 19일에 어린이대공원으로 갑니다,Chúng ta sẽ đi Công viên Đại công viên Trẻ em vào ngày 19 tháng 4.
84,유치원,제출,금요일까지 사진 사용 동의 여부를 내 주세요,Vui lòng nộp giấy đồng ý sử dụng hình ảnh trước thứ Sáu.
85,유치원,일정,11월 7일 오전에 인형극을 봅니다,Sẽ xem múa rối vào sáng ngày 7 tháng 11.
86,초등학교,일정,6월 18일에 온라인 학부모 연수가 있습니다,Có buổi tập huấn phụ huynh trực tuyến vào ngày 18 tháng 6.
91,초등학교,제출,공개수업 참관은 학교 앱에서 신청합니다,Việc tham quan lớp học công khai được đăng ký trên ứng dụng của trường.
96,초등학교,일정,5월 30일 도서관에서 독서 골든벨이 있습니다,Sẽ có cuộc thi rung chuông vàng đọc sách tại thư viện vào ngày 30 tháng 5.
99,유치원,준비물,계절에 맞는 여벌옷과 속옷을 준비해 주세요,Vui lòng chuẩn bị quần áo dự phòng và đồ lót phù hợp với thời tiết.
101,초등학교,제출,전교임원 후보는 신청서를 내야 합니다,Các ứng cử viên ban cán sự trường phải nộp đơn đăng ký.
110,초등학교,준비물,세면도구 여벌옷 필기도구를 준비해 주세요,"Vui lòng chuẩn bị đồ dùng vệ sinh cá nhân, quần áo dự phòng và dụng cụ học tập."
113,초등학교,일정,5월 10일 금요일에 봄 소풍을 갑니다,"Chúng ta sẽ đi dã ngoại mùa xuân vào thứ Sáu, ngày 10 tháng 5."
115,초등학교,제출,금요일까지 사이버폭력 예방 서약서를 내 주세요,Vui lòng nộp bản cam kết phòng chống bạo lực mạng trước thứ Sáu.
116,초등학교,일정,4월 21일에 과학의 날 행사를 합니다,Sự kiện Ngày Khoa học sẽ được tổ chức vào ngày 21 tháng 4.
117,초등학교,비용,단체 사진 구입비는 5000원입니다,Phí mua ảnh tập thể là 5.000 won.
119,유치원,일정,2월 14일 오전 10시에 수료식이 있습니다,Lễ bế giảng sẽ diễn ra vào lúc 10 giờ sáng ngày 14 tháng 2.
123,유치원,일정,5월 11일 오전에 가족 참여 수업이 있습니다,Có một lớp học có sự tham gia của gia đình vào sáng ngày 11 tháng 5.
124,초등학교,일정,5월 8일에 학급 사진을 찍습니다,Sẽ chụp ảnh lớp vào ngày 8 tháng 5.
127,유치원,제출,차량 노선 변경은 전날 오후 4시까지 신청해 주세요,Vui lòng đăng ký thay đổi tuyến đường xe trước 4 giờ chiều ngày hôm trước.
137,유치원,일정,5월 24일 오전 10시에 공개수업이 있습니다,Lớp học công khai sẽ diễn ra vào lúc 10 giờ sáng ngày 24 tháng 5.
144,초등학교,준비물,실내화를 빨아서 월요일에 가져오세요,Vui lòng giặt dép đi trong nhà và mang đến vào thứ Hai.
147,유치원,제출,적응기간 하원 시간을 확인해 주세요,Vui lòng kiểm tra thời gian về trong thời gian thích nghi.
155,유치원,건강·안전,6월 4일 오전에 소방대피훈련을 합니다,Sẽ có cuộc diễn tập sơ tán hỏa hoạn vào sáng ngày 4 tháng 6.
158,유치원,비용,발표회 의상비 25000원을 내 주세요,Vui lòng đóng 25.000 won tiền trang phục biểu diễn.
162,초등학교,비용,급식비 지원이 필요하면 행정실에 물어보세요,"Nếu cần hỗ trợ tiền ăn, vui lòng hỏi phòng hành chính."
164,유치원,비용,요리 활동 재료비 8000원을 내 주세요,Vui lòng đóng 8.000 won tiền nguyên liệu hoạt động nấu ăn.
168,초등학교,제출,합창부를 하려면 보호자 동의서를 내 주세요,"Để tham gia câu lạc bộ hợp xướng, vui lòng nộp giấy đồng ý của người giám hộ."
170,초등학교,제출,체험학습 보고서를 7일 안에 내야 출석으로 인정됩니다,Phải nộp báo cáo học tập trải nghiệm trong vòng 7 ngày mới được tính là đi học.
174,초등학교,건강·안전,다음 주 등교 시간에 교통안전 캠페인을 합니다,Sẽ có chiến dịch an toàn giao thông vào giờ đến trường tuần sau.
175,유치원,준비물,수영복 여벌옷 수건 비닐봉투를 준비해 주세요,"Vui lòng chuẩn bị đồ bơi, quần áo dự phòng, khăn tắm và túi nilon."
180,초등학교,준비물,다음 주까지 풀 가위 색연필을 보내 주세요,"Vui lòng gửi hồ dán, kéo và bút chì màu trước tuần sau."
184,유치원,준비물,앞치마와 개인 마스크를 준비해 주세요,Vui lòng chuẩn bị tạp dề và khẩu trang cá nhân.
186,유치원,기타,원복은 월요일과 행사일에 입습니다,Đồng phục trường được mặc vào thứ Hai và những ngày có sự kiện.
190,초등학교,일정,6월 3일부터 6월 7일까지 생존수영을 합니다,Sẽ học bơi sinh tồn từ ngày 3 tháng 6 đến ngày 7 tháng 6.
198,유치원,비용,유아학비 지원 안내문을 보고 신청해 주세요,Vui lòng đọc thông báo hỗ trợ học phí mầm non và đăng ký.
25,초등학교,제출,결석하면 오전 9시 전까지 이유를 앱에 써 주세요,"Nếu vắng mặt, vui lòng viết lý do trên ứng dụng trước 9 giờ sáng."
34,초등학교,준비물,사물함 이름표 스티커를 준비해 주세요,Vui lòng chuẩn bị nhãn dán tên cho tủ đồ.
36,유치원,일정,발표회 날 오전 9시까지 와 주세요,Vui lòng đến trước 9 giờ sáng vào ngày biểu diễn.
37,초등학교,준비물,깨끗한 개인 물병을 매일 보내 주세요,Vui lòng gửi bình nước cá nhân sạch sẽ mỗi ngày.
50,유치원,제출,귀가 시간이 바뀌면 키즈노트로 알려 주세요,"Nếu thời gian về nhà thay đổi, vui lòng thông báo qua Kids Note."
61,유치원,제출,학부모 자원봉사는 먼저 신청한 순서로 받습니다,Tình nguyện viên phụ huynh sẽ được nhận theo thứ tự đăng ký trước.
69,초등학교,건강·안전,태풍 때 등교 시간 변경은 앱으로 알려 줍니다,Việc thay đổi giờ đến trường khi có bão sẽ được thông báo qua ứng dụng.
70,초등학교,준비물,학예회 때 흰색 윗옷과 검정색 바지를 준비해 주세요,Vui lòng chuẩn bị áo trắng và quần đen cho buổi văn nghệ.
78,유치원,제출,알레르기 여부를 설문으로 알려 주세요,Vui lòng thông báo tình trạng dị ứng qua bảng khảo sát.
87,초등학교,비용,교육급여는 주민센터나 복지로에서 신청합니다,Trợ cấp giáo dục được đăng ký tại trung tâm cộng đồng hoặc Bokjiro.
90,초등학교,건강·안전,감염병에 걸리면 학교에 오지 말고 연락해 주세요,"Nếu mắc bệnh truyền nhiễm, vui lòng không đến trường và liên hệ với chúng tôi."
98,유치원,준비물,숲놀이 날 긴팔 옷과 모자를 준비해 주세요,Vui lòng chuẩn bị quần áo dài tay và mũ vào ngày chơi trong rừng.
104,초등학교,건강·안전,6월 첫째 주에 실종 유괴 예방교육을 합니다,Giáo dục phòng chống mất tích và bắt cóc sẽ được tổ chức vào tuần đầu tiên của tháng 6.
106,유치원,건강·안전,감기 증상이 있으면 등원 전에 선생님께 연락해 주세요,"Nếu có triệu chứng cảm lạnh, vui lòng liên hệ với giáo viên trước khi đến trường."
111,초등학교,건강·안전,건강검진 전날 밤 9시 뒤에는 간식을 먹지 않게 해 주세요,Vui lòng không cho ăn vặt sau 9 giờ tối ngày hôm trước khi khám sức khỏe.
130,초등학교,건강·안전,아동학대 예방 안내문을 확인해 주세요,Vui lòng kiểm tra thông báo phòng chống bạo hành trẻ em.
131,초등학교,건강·안전,시력검사 후 병원 진료가 필요하면 안내문을 확인해 주세요,"Nếu cần điều trị tại bệnh viện sau khi kiểm tra thị lực, vui lòng kiểm tra thông báo."
134,초등학교,제출,오전 9시 30분까지 원격수업 출석을 확인해 주세요,Vui lòng xác nhận điểm danh lớp học từ xa trước 9:30 sáng.
136,유치원,제출,참석 인원을 키즈노트로 알려 주세요,Vui lòng thông báo số lượng người tham dự qua Kids Note.
152,유치원,일정,7월 5일에 유치원에서 물놀이를 합니다,Sẽ có hoạt động vui chơi dưới nước tại trường mẫu giáo vào ngày 5 tháng 7.
154,유치원,건강·안전,동물 체험 전 손 씻기와 알레르기를 확인해 주세요,Vui lòng rửa tay và kiểm tra dị ứng trước khi trải nghiệm động vật.
166,유치원,제출,졸업여행 희망 조사를 키즈노트로 내 주세요,Vui lòng nộp khảo sát nguyện vọng đi chuyến đi tốt nghiệp qua Kids Note.
